3600	0.9868 0.2756 -0.09288 -2.366 0.2561	0.2192 1.042 -1.085 -0.4491 -1.29	-1.955 -0.07843 0.9642 -0.01112 -0.03692	-0.367 -1.556 -0.2527 1.08 0.7516	2.543 2.195 2.874 2.257 -4.608
3700	0.9806 0.3195 -0.09857 -2.418 0.2077	0.2015 0.9986 -1.113 -0.4156 -1.287	-1.924 -0.04886 1.003 -0.03555 -0.06971	-0.4013 -1.575 -0.3339 1.122 0.7757	2.511 2.2 2.89 2.208 -4.562
3800	0.9806 0.3195 -0.09857 -2.418 0.2077	0.2015 0.9986 -1.113 -0.4156 -1.287	-1.924 -0.04886 1.003 -0.03555 -0.06971	-0.4013 -1.575 -0.3339 1.122 0.7757	2.511 2.2 2.89 2.208 -4.562
3900	0.9806 0.3195 -0.09857 -2.418 0.2077	0.2015 0.9986 -1.113 -0.4156 -1.287	-1.924 -0.04886 1.003 -0.03555 -0.06971	-0.4013 -1.575 -0.3339 1.122 0.7757	2.511 2.2 2.89 2.208 -4.562
4000	0.9806 0.3195 -0.09857 -2.418 0.2077	0.2015 0.9986 -1.113 -0.4156 -1.287	-1.924 -0.04886 1.003 -0.03555 -0.06971	-0.4013 -1.575 -0.3339 1.122 0.7757	2.511 2.2 2.89 2.208 -4.562
4100	0.9806 0.3195 -0.09857 -2.418 0.2077	0.2015 0.9986 -1.113 -0.4156 -1.287	-1.924 -0.04886 1.003 -0.03555 -0.06971	-0.4013 -1.575 -0.3339 1.122 0.7757	2.511 2.2 2.89 2.208 -4.562
4200	0.9642 0.3422 -0.07838 -2.414 0.2428	0.2167 1.019 -1.113 -0.4284 -1.272	-1.955 -0.06317 0.9806 -0.05279 -0.09079	-0.4051 -1.571 -0.3566 1.091 0.7899	2.544 2.2 2.888 2.245 -4.546
4300	0.9642 0.3422 -0.07838 -2.414 0.2428	0.2167 1.019 -1.113 -0.4284 -1.272	-1.955 -0.06317 0.9806 -0.05279 -0.09079	-0.4051 -1.571 -0.3566 1.091 0.7899	2.544 2.2 2.888 2.245 -4.546
4400	0.9792 0.3379 -0.112 -2.401 0.2448	0.2439 0.9956 -1.16 -0.4188 -1.266	-1.936 -0.07222 1.026 -0.07824 -0.102	-0.3919 -1.571 -0.3587 1.084 0.8149	2.55 2.182 2.893 2.253 -4.547
4500	0.9667 0.3213 -0.1227 -2.37 0.3053	0.2228 0.9996 -1.148 -0.3714 -1.278	-1.967 -0.1008 0.9965 -0.07128 -0.1163	-0.394 -1.522 -0.3392 1.093 0.8153	2.54 2.204 2.872 2.247 -4.544
