6000	0.6263 2.85 -0.7615 0.8616	3.405 0.5333 -0.7013 0.7515	-1.462 -6.038 1.296 -0.2076	0.37 0.1132 3.177 -3.229
6100	0.5515 3.174 -0.7226 0.9665	3.237 0.599 -0.686 0.7997	-1.517 -6.11 1.303 -0.201	0.5226 0.03558 3.452 -3.591
6200	0.6318 3.25 -0.7048 0.9808	3.099 0.6753 -0.6963 0.455	-1.392 -6.121 1.41 -0.2516	0.7125 -0.0889 3.289 -3.535
6300	0.6196 3.186 -0.7968 0.98	3.108 0.6617 -0.8838 0.4008	-1.421 -6.102 1.375 -0.305	0.8183 0.2311 3.233 -3.363
6400	0.6482 3.369 -0.8404 1.022	2.942 0.6594 -0.9225 0.3943	-1.178 -6.185 1.436 -0.2713	0.6173 0.233 3.242 -3.399
6500	0.6009 3.512 -0.8306 1.132	3.035 0.6159 -0.8209 0.372	-1.052 -6.262 1.294 -0.3591	0.6952 0.2538 3.071 -3.407
6600	0.643 3.423 -1.087 1.176	2.82 0.4811 -0.7174 0.4416	-1.064 -6.189 1.21 -0.4119	0.8786 0.2792 3.248 -3.523
6700	0.4827 3.434 -0.9754 1.143	2.938 0.3003 -0.7517 0.316	-1.09 -6.187 1.106 -0.4188	1.033 0.2869 3.125 -3.623
6800	0.3656 3.176 -0.9815 1.058	2.735 0.3258 -0.8402 0.4522	-0.9746 -6.06 1.017 -0.5426	1.023 0.1363 3.298 -3.84
6900	0.3402 3.191 -0.8785 1.097	2.878 0.1979 -0.6291 0.563	-0.8333 -6.055 0.9625 -0.4868	0.9796 0.2335 3.337 -3.885
7000	0.2846 3.182 -0.9403 1.18	3.047 0.2336 -0.7294 0.5698	-1.01 -6.052 1.001 -0.4587	0.8461 0.4013 3.28 -3.879
7100	0.2721 3.011 -0.9358 1.133	3.067 0.2211 -0.7171 0.6012	-0.9281 -6.075 0.976 -0.5161	0.903 0.4223 3.247 -3.816
